HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description
4BAD4EB0-9296-E011-82A2-00155D28E806,D5ECE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,35.62,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=35.62 ACRES,,0.0,,,30.0,4.0,N,1.0,E,11,3004N01ECM,SW,3004N01ECM SW,SWSW
4CAD4EB0-9296-E011-82A2-00155D28E806,DEECE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.66,00:00.0,,,G,44-F,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=39.66 ACRES,,0.0,,,30.0,5.0,N,3.0,E,11,3005N03ECM,SW,3005N03ECM SW,SWSW
4DAD4EB0-9296-E011-82A2-00155D28E806,ADDEE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.49,00:00.0,,,G,187-M,,ADMIN,29:19.8,Sfleming,11:59.7,Imported Location || LOT 4=SW/4 SW/4=39.49 ACRES,,0.0,,,30.0,6.0,N,6.0,E,11,3006N06ECM,SW,3006N06ECM SW,SWSW
4EAD4EB0-9296-E011-82A2-00155D28E806,2DEDE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,35.25,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=35.25 ACRES,,0.0,,,31.0,4.0,N,1.0,E,11,3104N01ECM,SW,3104N01ECM SW,SWSW
4FAD4EB0-9296-E011-82A2-00155D28E806,33EDE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,39.98,00:00.0,,,G,44-G,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=39.98 ACRES,,0.0,,,31.0,5.0,N,3.0,E,11,3105N03ECM,SW,3105N03ECM SW,SWSW
50AD4EB0-9296-E011-82A2-00155D28E806,0DDFE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,40.01,00:00.0,,,G,1443-A,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=SW/4 SW/4=40.01 ACRES,,0.0,,,31.0,5.0,N,6.0,E,11,3105N06ECM,SW,3105N06ECM SW,SWSW
51AD4EB0-9296-E011-82A2-00155D28E806,DE51D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SWSW,1.0,40.1,00:00.0,,,G,187-N,,ADMIN,29:19.8,ADMIN,29:19.8,"From square in Boise City, 14 miles North and 3 1/2 miles East || LOT 4=SW/4 SW/4=40.10 ACRES",,0.0,,,31.0,6.0,N,6.0,E,11,3106N06ECM,SW,3106N06ECM SW,SWSW
70B84EB0-9296-E011-82A2-00155D28E806,2F50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,40.06,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 10 miles East || LOT 1=NE/4 NE/4=40.06 ACRES",,0.0,,,1.0,5.0,N,1.0,E,11,0105N01ECM,NE,0105N01ECM NE,NENE
71B84EB0-9296-E011-82A2-00155D28E806,6450D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,40.12,00:00.0,,,G,2336,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 14 miles North and 18 miles West || LOT 1=NE/4 NE/4=40.12 ACRES",,0.0,,,1.0,5.0,N,3.0,E,11,0105N03ECM,NE,0105N03ECM NE,NENE
72B84EB0-9296-E011-82A2-00155D28E806,5850D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,37.02,00:00.0,,,G,2361,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 4 miles North, 7 miles West and 6 miles North and West || LOT 1=NE/4 NE/4=37.02 ACRES",,0.0,,,3.0,4.0,N,3.0,E,11,0304N03ECM,NE,0304N03ECM NE,NENE
73B84EB0-9296-E011-82A2-00155D28E806,4A50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,40.54,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 2-1/2 miles East and 2-1/2 North, isolated. || LOT 1=NE/4 NE/4=40.54 ACRES",,0.0,,,4.0,5.0,N,1.0,E,11,0405N01ECM,NE,0405N01ECM NE,NENE
75B84EB0-9296-E011-82A2-00155D28E806,5DD3E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,39.81,00:00.0,,,G,21-E,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 1=NE/4 NE/4=39.81 ACRES,,0.0,,,6.0,2.0,N,2.0,E,11,0602N02ECM,NE,0602N02ECM NE,NENE
76B84EB0-9296-E011-82A2-00155D28E806,BC50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,41.22,00:00.0,,,G,1284-B,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 8 miles East, 4 miles North, 2 miles East and 2 miles North || LOT 1=NE/4 NE/4=41.22 ACRES",,0.0,,,6.0,5.0,N,3.0,E,11,0605N03ECM,NE,0605N03ECM NE,NENE
77B84EB0-9296-E011-82A2-00155D28E806,6851D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENE,1.0,39.88,00:00.0,,,G,2067,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 12 miles North and 3 miles East || LOT 1=NE/4 NE/4=39.88 ACRES",,0.0,,,6.0,5.0,N,6.0,E,11,0605N06ECM,NE,0605N06ECM NE,NENE
D4B84EB0-9296-E011-82A2-00155D28E806,4550D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENW,1.0,40.3,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 2-1/2 miles East and 2-1/2 North, isolated. || LOT 3=NE/4 NW/4=40.30 ACRES",,0.0,,,1.0,5.0,N,1.0,E,11,0105N01ECM,NW,0105N01ECM NW,NENW
D5B84EB0-9296-E011-82A2-00155D28E806,A1D3E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,NENW,1.0,37.1,00:00.0,,,G,2361,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 3=NE/4 NW/4=37.10 ACRES,,0.0,,,3.0,4.0,N,3.0,E,11,0304N03ECM,NW,0304N03ECM NW,NENW
D6B84EB0-9296-E011-82A2-00155D28E806,4850D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENW,1.0,40.5,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 2-1/2 miles East and 2-1/2 North, isolated. || LOT 3=NE/4 NW/4=40.5 ACRES",,0.0,,,3.0,5.0,N,1.0,E,11,0305N01ECM,NW,0305N01ECM NW,NENW
D7B84EB0-9296-E011-82A2-00155D28E806,4E51D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENW,1.0,39.87,00:00.0,,,G,2065,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 12 miles North and 3 miles East || LOT 3=NE/4 NW/4=39.87 ACRES",,0.0,,,4.0,5.0,N,6.0,E,11,0405N06ECM,NW,0405N06ECM NW,NENW
D9B84EB0-9296-E011-82A2-00155D28E806,C64FD821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,NENW,1.0,39.88,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Wheeless, 4 miles West and 2 miles North || LOT 3=NE/4 NW/4=39.88 ACRES",,0.0,,,5.0,3.0,N,1.0,E,11,0503N01ECM,NW,0503N01ECM NW,NENW
DAB84EB0-9296-E011-82A2-00155D28E806,5ED3E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,NENW,1.0,39.92,00:00.0,,,G,21-E,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 3=NE/4 NW/4=39.92 ACRES,,0.0,,,6.0,2.0,N,2.0,E,11,0602N02ECM,NW,0602N02ECM NW,NENW
4DB94EB0-9296-E011-82A2-00155D28E806,C250D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,1,1.0,22.58,00:00.0,,,G,1273-A,,ADMIN,29:19.8,Ginny,48:11.2,"From Kenton, 8 miles East, 4 miles North, 2 miles East and 2 miles North || LOT 1=PT OF NE/4 SE/4=22.58 ACRES",,0.0,,,9.0,6.0,N,3.0,E,11,0906N03ECM,SE,0906N03ECM SE,1
51B94EB0-9296-E011-82A2-00155D28E806,6A50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,1,1.0,23.15,00:00.0,,,G,1273-B,,ADMIN,29:19.8,Sfleming,02:04.9,"From Square in Boise City, 14 miles North and 18 miles West || LOT 1=NE/4 SE/4=23.15 ACRES",,0.0,,,10.0,6.0,N,3.0,E,11,1006N03ECM,SE,1006N03ECM SE,1
54B94EB0-9296-E011-82A2-00155D28E806,6C50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,1,1.0,23.9,00:00.0,,,G,1274,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 14 miles North and 18 miles West || LOT 1=PT OF NE/4 SE/4=23.90 ACRES",,0.0,,,11.0,6.0,N,3.0,E,11,1106N03ECM,SE,1106N03ECM SE,1
56B94EB0-9296-E011-82A2-00155D28E806,6E50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NE,1,1.0,24.7,00:00.0,,,G,1274-A,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 14 miles North and 18 miles West || LOT 1=PT OF NE/4 SE/4=24.70 ACRES",,0.0,,,12.0,6.0,N,3.0,E,11,1206N03ECM,SE,1206N03ECM SE,1
BAB94EB0-9296-E011-82A2-00155D28E806,A4E3E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,3,1.0,21.67,00:00.0,,,G,1273-A,,ADMIN,29:19.8,Sfleming,47:41.2,Imported Location || LOT 3=PT OF NE/4 SW/4=21.68 ACRES,,0.0,,,9.0,6.0,N,3.0,E,11,0906N03ECM,SW,0906N03ECM SW,3
BEB94EB0-9296-E011-82A2-00155D28E806,0EE4E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,3,1.0,22.95,00:00.0,,,G,1273-B,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 3=PT OF NE/4 SW/4=22.95 ACRES,,0.0,,,10.0,6.0,N,3.0,E,11,1006N03ECM,SW,1006N03ECM SW,3
C1B94EB0-9296-E011-82A2-00155D28E806,81E4E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,3,1.0,23.5,00:00.0,,,G,1274,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 3=PT OF NE/4 SW/4=23.50 ACRES,,0.0,,,11.0,6.0,N,3.0,E,11,1106N03ECM,SW,1106N03ECM SW,3
C4B94EB0-9296-E011-82A2-00155D28E806,E4E4E139-087C-E011-9CF3-00155D960C0A,5,4,13,NE,3,1.0,24.3,00:00.0,,,G,1274-A,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 3=PT OF NE/4 SW/4=24.30 ACRES,,0.0,,,12.0,6.0,N,3.0,E,11,1206N03ECM,SW,1206N03ECM SW,3
15BA4EB0-9296-E011-82A2-00155D28E806,2F50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,40.18,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 10 miles East || LOT 2=NW/4 NE/4=40.18 ACRES",,0.0,,,1.0,5.0,N,1.0,E,11,0105N01ECM,NE,0105N01ECM NE,NWNE
16BA4EB0-9296-E011-82A2-00155D28E806,6450D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,40.37,00:00.0,,,G,2336,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 14 miles North and 18 miles West || LOT 2=NW/4 NE/4=40.37 ACRES",,0.0,,,1.0,5.0,N,3.0,E,11,0105N03ECM,NE,0105N03ECM NE,NWNE
17BA4EB0-9296-E011-82A2-00155D28E806,5850D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,37.08,00:00.0,,,G,2361,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 4 miles North, 7 miles West and 6 miles North and West || LOT 2=NW/4 NE/4=37.08 ACRES",,0.0,,,3.0,4.0,N,3.0,E,11,0304N03ECM,NE,0304N03ECM NE,NWNE
18BA4EB0-9296-E011-82A2-00155D28E806,B150D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,40.76,00:00.0,,,G,1284,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 8 miles East, 4 miles North, 2 miles East and 2 miles North || LOT 2=NW/4 NE/4=40.76 ACRES",,0.0,,,4.0,5.0,N,3.0,E,11,0405N03ECM,NE,0405N03ECM NE,NWNE
1ABA4EB0-9296-E011-82A2-00155D28E806,C44FD821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,39.85,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Wheeless, 4 miles West and 2 miles North || LOT 2=NW/4 NE/4=39.85 ACRES",,0.0,,,5.0,3.0,N,1.0,E,11,0503N01ECM,NE,0503N01ECM NE,NWNE
1BBA4EB0-9296-E011-82A2-00155D28E806,5DD3E139-087C-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,39.86,00:00.0,,,G,21-E,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=NW/4 NE/4=39.86 ACRES,,0.0,,,6.0,2.0,N,2.0,E,11,0602N02ECM,NE,0602N02ECM NE,NWNE
1CBA4EB0-9296-E011-82A2-00155D28E806,BC50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNE,1.0,40.86,00:00.0,,,G,1284-B,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 8 miles East, 4 miles North, 2 miles East and 2 miles North || LOT 2=NW/4 NE/4=40.86 ACRES",,0.0,,,6.0,5.0,N,3.0,E,11,0605N03ECM,NE,0605N03ECM NE,NWNE
76BA4EB0-9296-E011-82A2-00155D28E806,4550D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNW,1.0,40.42,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 2-1/2 miles East and 2-1/2 North, isolated. || LOT 4=NW/4 NW/4=40.42 ACRES",,0.0,,,1.0,5.0,N,1.0,E,11,0105N01ECM,NW,0105N01ECM NW,NWNW
77BA4EB0-9296-E011-82A2-00155D28E806,A1D3E139-087C-E011-9CF3-00155D960C0A,5,4,13,NW,NWNW,1.0,37.12,00:00.0,,,G,2361,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 4=NW/4 NW/4=37.12 ACRES,,0.0,,,3.0,4.0,N,3.0,E,11,0304N03ECM,NW,0304N03ECM NW,NWNW
78BA4EB0-9296-E011-82A2-00155D28E806,4850D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNW,1.0,40.54,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 2-1/2 miles East and 2-1/2 North, isolated. ||  LOT 4=NW/4 NW/4=40.54 ACRES",,0.0,,,3.0,5.0,N,1.0,E,11,0305N01ECM,NW,0305N01ECM NW,NWNW
79BA4EB0-9296-E011-82A2-00155D28E806,4E50D821-E47B-E011-9CF3-00155D960C0A,5,4,13,NW,NWNW,1.0,40.44,00:00.0,,,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,"From Kenton, 1/2 mile East and 1 1/2 miles North to East side of property || LOT 4=NW/4 NW/4=40.44 ACRES",,0.0,,,4.0,5.0,N,1.0,E,11,0405N01ECM,NW,0405N01ECM NW,NWNW
