STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,PLSSID,STEWARD,TWNSHPLAB,FRSTDIVID,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVID,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVSUF,SECDIVNOTE,SECDIVLAB,SURVID,SURVTYP,SURVTYPTXT,SRVNAME,SURVNO,SURVSUF,SURVNOTE,SURVDIV,SURVLAB,QSEC,QQSEC,GOVLOT,SOURCEREF,SOURCEDATE,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),geometry
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN020,SN,Section,02,0,02,SD051250N0560W0SN020ASESE,A,Aliquot Part,SESE,,,SESE,,,,,,,,,,SE,SESE,,,,40 Acres,40.0,39.8892167,1417737600000,{4182C8D9-908A-4785-8173-FAAE2C2C9ED3},1130977,330592.90625,2299.894190171197,"[[-10854177.7653, 5726030.0446000025], [-10854751.3843, 5726030.416199997], [-10854751.5609, 5726606.5779], [-10854177.7595, 5726606.3565], [-10854177.7653, 5726030.0446000025]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN090,SN,Section,09,0,09,SD051250N0560W0SN090ANWNW,A,Aliquot Part,NWNW,,,NWNW,,,,,,,,,,NW,NWNW,,,,40 Acres,40.0,39.98661621,1417737600000,{9FB9BE10-39B6-4E3B-AEB2-8B759963CFB0},1130987,331366.21875,2302.5813363606167,"[[-10860499.6245, 5725460.335100003], [-10861075.5566, 5725461.025200002], [-10861076.432, 5726036.406900004], [-10860500.5526, 5726035.721000001], [-10860499.6245, 5725460.335100003]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN080,SN,Section,08,0,08,SD051250N0560W0SN080ANENW,A,Aliquot Part,NENW,,,NENW,,,,,,,,,,NW,NENW,,,,40 Acres,40.0,39.87365588,1417737600000,{2B8C0B01-97E3-465A-B221-82FBA0801AD0},1130984,330432.5234375,2299.3385968060093,"[[-10862223.3049, 5725462.520499997], [-10862797.1775, 5725463.246100001], [-10862798.0498, 5726039.132200003], [-10862224.1772, 5726038.225299999], [-10862223.3049, 5725462.520499997]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN090,SN,Section,09,0,09,SD051250N0560W0SN090ANWNE,A,Aliquot Part,NWNE,,,NWNE,,,,,,,,,,NE,NWNE,,,,40 Acres,40.0,39.99144625,1417737600000,{C6C4E7ED-8A2C-4D7B-A844-2EBFD80E24F7},1130989,331404.6875,2302.7156286792188,"[[-10859347.7636, 5725458.875299998], [-10859923.6957, 5725459.6052], [-10859924.6732, 5726035.035400003], [-10859348.7969, 5726034.349699996], [-10859347.7636, 5725458.875299998]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN090,SN,Section,09,0,09,SD051250N0560W0SN090ANENW,A,Aliquot Part,NENW,,,NENW,,,,,,,,,,NW,NENW,,,,40 Acres,40.0,39.98827751,1417737600000,{62912B4E-C92E-469D-80E7-BEC831584E61},1130988,331379.18359375,2302.6267494000845,"[[-10859923.6957, 5725459.6052], [-10860499.6245, 5725460.335100003], [-10860500.5526, 5726035.721000001], [-10859924.6732, 5726035.035400003], [-10859923.6957, 5725459.6052]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN010,SN,Section,01,0,01,SD051250N0560W0SN010ASWSW,A,Aliquot Part,SWSW,,,SWSW,,,,,,,,,,SW,SWSW,,,,40 Acres,40.0,39.95110747,1417737600000,{96055CA4-FE2E-4B0C-8690-2417299DD10A},1130976,331105.1015625,2301.672153132764,"[[-10854177.7653, 5726030.0446000025], [-10854177.7595, 5726606.3565], [-10853603.2459, 5726606.640600003], [-10853603.2085, 5726030.350900002], [-10854177.7653, 5726030.0446000025]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN090,SN,Section,09,0,09,SD051250N0560W0SN090ANENE,A,Aliquot Part,NENE,,,NENE,,,,,,,,,,NE,NENE,,,,40 Acres,40.0,39.99568316,1417737600000,{6EC2B5D1-86E0-47FD-8567-36EC727EAA0F},1130990,331439.0078125,2302.835257094941,"[[-10858771.8347, 5725458.114299998], [-10859347.7636, 5725458.875299998], [-10859348.7969, 5726034.349699996], [-10858772.9173, 5726033.663800001], [-10858771.8347, 5725458.114299998]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN090,SN,Section,09,0,09,SD051250N0560W0SN090ASENE,A,Aliquot Part,SENE,,,SENE,,,,,,,,,,NE,SENE,,,,40 Acres,40.0,40.00252831,1417737600000,{92B282AF-6888-47E5-B615-5907ACBF4947},1131015,331453.234375,2302.885130710526,"[[-10858770.752, 5724882.597599998], [-10859346.7335, 5724883.420299999], [-10859347.7636, 5725458.875299998], [-10858771.8347, 5725458.114299998], [-10858770.752, 5724882.597599998]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN080,SN,Section,08,0,08,SD051250N0560W0SN080ASENW,A,Aliquot Part,SENW,,,SENW,,,,,,,,,,NW,SENW,,,,40 Acres,40.0,39.87710372,1417737600000,{6F1BAB41-A1EA-4CA2-9529-316F1FF0718A},1131009,330418.66015625,2299.2892309124177,"[[-10862222.4294, 5724886.848399997], [-10862796.305, 5724887.379199997], [-10862797.1775, 5725463.246100001], [-10862223.3049, 5725462.520499997], [-10862222.4294, 5724886.848399997]]"
SD,05,5th Meridian,125,0,N,056,0,W,0,SD051250N0560W0,BLM Cadastral - MT,125N 56W,SD051250N0560W0SN080,SN,Section,08,0,08,SD051250N0560W0SN080ASWNW,A,Aliquot Part,SWNW,,,SWNW,,,,,,,,,,NW,SWNW,,,,40 Acres,40.0,39.8906608,1417737600000,{26CA36C5-060E-465A-9008-8C32C2818D20},1131008,330531.734375,2299.683141697922,"[[-10862796.305, 5724887.379199997], [-10863370.1808, 5724887.870200001], [-10863371.05, 5725463.9362], [-10862797.1775, 5725463.246100001], [-10862796.305, 5724887.379199997]]"
