,Column1,Column2,Column3,Column4,Column42,Column43,Column8,FIXED PLSS ID,Column9,Column5,Column6,Column7
38,1190N0,590W0,SN23,N2NE                                                        ,N2NE,AN½NE,1190N0590W0SN23AN½NE,1190N0590W0SN23ANWNE,,76.0,Clark,SOUTH DAKOTA STATE UNIVERSITY
39,1190N0,590W0,SN23,N2NE                                                        ,N2NE,AN½NE,1190N0590W0SN23AN½NE,1190N0590W0SN23ANENE,,76.0,Clark,SOUTH DAKOTA STATE UNIVERSITY
40,1240N0,550W0,SN06,LOT 9,LOT 9,L9,1240N0550W0SN06L9,1240N0550W0SN06L9,1240N0550W0SN06L9,10.0,Day,SOUTH DAKOTA STATE UNIVERSITY
41,1200N0,590W0,SN05,E2SE,E2SE,AE½SE,1200N0590W0SN05AE½SE,1200N0590W0SN05ANESE,,80.0,Day,SOUTH DAKOTA STATE UNIVERSITY
42,1200N0,590W0,SN05,E2SE,E2SE,AE½SE,1200N0590W0SN05AE½SE,1200N0590W0SN05ASESE,,80.0,Day,SOUTH DAKOTA STATE UNIVERSITY
43,1200N0,590W0,SN23,SE4SE,SE4SE,ASESE,1200N0590W0SN23ASESE,1200N0590W0SN23ASESE,1200N0590W0SN23ASESE,36.33,Day,SOUTH DAKOTA STATE UNIVERSITY
44,1200N0,590W0,SN24,SW4SW                                                       ,SW4SW,ASWSW,1200N0590W0SN24ASWSW,1200N0590W0SN24ASWSW,1200N0590W0SN24ASWSW,40.0,Day,SOUTH DAKOTA STATE UNIVERSITY
45,1200N0,590W0,SN26,N2SW,N2SW,AN½SW,1200N0590W0SN26AN½SW,1200N0590W0SN26ANWSW,,120.0,Day,SOUTH DAKOTA STATE UNIVERSITY
46,1200N0,590W0,SN26,N2SW,N2SW,AN½SW,1200N0590W0SN26AN½SW,1200N0590W0SN26ANESW,,120.0,Day,SOUTH DAKOTA STATE UNIVERSITY
47,1200N0,590W0,SN26, SE4SW                                                 ,SE4SW,ASESW,1200N0590W0SN26ASESW,1200N0590W0SN26ASESW,1200N0590W0SN26ASESW,120.0,Day,SOUTH DAKOTA STATE UNIVERSITY
48,1200N0,590W0,SN27,NE4SW,NE4SW,ANESW,1200N0590W0SN27ANESW,1200N0590W0SN27ANESW,1200N0590W0SN27ANESW,39.0,Day,SOUTH DAKOTA STATE UNIVERSITY
49,1200N0,590W0,SN34,W2NE,W2NE,AW½NE,1200N0590W0SN34AW½NE,1200N0590W0SN34ANWNE,,160.0,Day,SOUTH DAKOTA STATE UNIVERSITY
50,1200N0,590W0,SN34,W2NE,W2NE,AW½NE,1200N0590W0SN34AW½NE,1200N0590W0SN34ASWNE,,160.0,Day,SOUTH DAKOTA STATE UNIVERSITY
51,1200N0,590W0,SN34, W2NW,W2NW,AW½NW,1200N0590W0SN34AW½NW,1200N0590W0SN34ANWNW,,160.0,Day,SOUTH DAKOTA STATE UNIVERSITY
52,1200N0,590W0,SN34, W2NW,W2NW,AW½NW,1200N0590W0SN34AW½NW,1200N0590W0SN34ASWNW,,160.0,Day,SOUTH DAKOTA STATE UNIVERSITY
53,1210N0,590W0,SN10,S2NW                                                        ,S2NW,AS½NW,1210N0590W0SN10AS½NW,1210N0590W0SN10ASWNW,,80.0,Day,SOUTH DAKOTA STATE UNIVERSITY
54,1210N0,590W0,SN10,S2NW                                                        ,S2NW,AS½NW,1210N0590W0SN10AS½NW,1210N0590W0SN10ASENW,,80.0,Day,SOUTH DAKOTA STATE UNIVERSITY
55,0080S0,070E0,SN20,N2SE,N2SE,AN½SE,0080S0070E0SN20AN½SE,0080S0070E0SN20ANWSE,,80.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
56,0080S0,070E0,SN20,N2SE,N2SE,AN½SE,0080S0070E0SN20AN½SE,0080S0070E0SN20ANESE,,80.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
57,0080S0,070E0,SN22, SE4,SE4,ASE,0080S0070E0SN22ASE,0080S0070E0SN22ANWSE,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
58,0080S0,070E0,SN22, SE4,SE4,ASE,0080S0070E0SN22ASE,0080S0070E0SN22ANESE,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
59,0080S0,070E0,SN22, SE4,SE4,ASE,0080S0070E0SN22ASE,0080S0070E0SN22ASWSE,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
60,0080S0,070E0,SN22, SE4,SE4,ASE,0080S0070E0SN22ASE,0080S0070E0SN22ASESE,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
61,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ANWSW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
62,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ANESW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
