HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescriptionOLD,,,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description,SEARCH_ID
45668186-9315-E311-9FDA-00155D28EA07,,5,1,13,N,N/2NE/4 SEC 22-4N-1ECM,N/2NE/4 ,N/2NE/4 ,0,0,00:00.0,00:00.0,,,,511065,JPope,55:12.3,Dwelch,10:06.9,,,0,,,22,4,N,1,E,11,2204N01ECM,NE,2204N01ECM NE,NENE,114N1E22NENE
0B0BDC99-081F-E311-9FDA-00155D28EA07,,5,1,13,NE,LT 1 SEC 11-6N-3ECM,LT 1 ,L1 ,0,23.9,00:00.0,,,,,511129,JPope,45:56.1,LLocke,44:11.3,,,0,,,11,6,N,3,E,11,1106N03ECM,SE,1106N03ECM SE,1,116N3E11L1 
C47D3926-091F-E311-9FDA-00155D28EA07,,5,1,13,NW,LT 2 SEC 11-6N-3ECM,LT 2 ,L2 ,0,23.7,00:00.0,,,,,511129,JPope,49:51.6,LLocke,44:30.0,,,0,,,11,6,N,3,E,11,1106N03ECM,SE,1106N03ECM SE,2,116N3E11L2 
F620F16E-091F-E311-9FDA-00155D28EA07,,5,1,13,SW,LT 3 SEC 11-6N-3ECM,LT 3 ,L3 ,0,23.5,00:00.0,,,,,511129,JPope,51:53.6,Dwelch,04:18.5,,,0,,,11,6,N,3,E,11,1106N03ECM,SW,1106N03ECM SW,3,116N3E11L3 
05271DB0-091F-E311-9FDA-00155D28EA07,,5,1,13,NW,LT 4 SEC 11-6N-3ECM,LT 4 ,L4 ,0,23.3,00:00.0,,,,,511129,JPope,53:43.0,Dwelch,59:52.2,,,0,,,11,6,N,3,E,11,1106N03ECM,SW,1106N03ECM SW,4,116N3E11L4 
098F4CF2-991F-E311-9FDA-00155D28EA07,,5,1,13,NE,LT 1 SEC 12-6N-3ECM,LT 1 ,L1 ,0,24.7,00:00.0,,,,,511129,JPope,06:21.3,LLocke,46:04.0,,,0,,,12,6,N,3,E,11,1206N03ECM,SE,1206N03ECM SE,1,116N3E12L1 
040B191D-9A1F-E311-9FDA-00155D28EA07,,5,1,13,,LT 2 SEC 12-6N-3ECM,LT 2 ,L2 ,0,24.5,00:00.0,,,,,511129,JPope,07:33.1,Dwelch,02:45.8,,,0,,,12,6,N,3,E,11,1206N03ECM,SE,1206N03ECM SE,2,116N3E12L2 
629FF847-9A1F-E311-9FDA-00155D28EA07,,5,1,13,,LT 3 SEC 12-6N-3ECM,LT 3 ,L3 ,0,24.3,00:00.0,,,,,511129,JPope,08:45.0,Dwelch,38:38.3,,,0,,,12,6,N,3,E,11,1206N03ECM,SW,1206N03ECM SW,3,116N3E12L3 
512EE96F-9A1F-E311-9FDA-00155D28EA07,,5,1,13,NW,LT 4 SEC 12-6N-3ECM,LT 4 ,L4 ,0,24.1,00:00.0,,,,,511129,JPope,09:59.3,Dwelch,51:18.4,,,0,,,12,6,N,3,E,11,1206N03ECM,SW,1206N03ECM SW,4,116N3E12L4 
D550F19D-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 23-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,03:09.6,Dwelch,23:24.8,,,0,,,23,6,N,6,E,11,2306N06ECM,NE,2306N06ECM NE,NWNE,116N6E23NWNE
D550F19D-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 23-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,03:09.6,Dwelch,23:24.8,,,0,,,23,6,N,6,E,11,2306N06ECM,NE,2306N06ECM NE,NENE,116N6E23NENE
