HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ
FCA94EB0-9296-E011-82A2-00155D28E806,23D1E139-087C-E011-9CF3-00155D960C0A,5,4,6,NW,NW/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,894,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,13,N,13,W,I,0113N13WIM,SE,0113N13WIM SE
FDA94EB0-9296-E011-82A2-00155D28E806,A5D4E139-087C-E011-9CF3-00155D960C0A,5,4,6,NW,NW/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,1034,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,7,13,N,12,W,I,0713N12WIM,SE,0713N12WIM SE
FEA94EB0-9296-E011-82A2-00155D28E806,FAE4E139-087C-E011-9CF3-00155D960C0A,5,4,6,NW,NW/4 SE/4,0.5,39.84,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,22:47.0,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,SE,1213N13WIM SE
FFA94EB0-9296-E011-82A2-00155D28E806,98D6E139-087C-E011-9CF3-00155D960C0A,5,4,6,SE,SE/4 NW/4,0.5,40.3025,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,25:19.0,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,NW,1213N13WIM NW
00AA4EB0-9296-E011-82A2-00155D28E806,23D1E139-087C-E011-9CF3-00155D960C0A,5,4,6,SE,SE/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,894,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,13,N,13,W,I,0113N13WIM,SE,0113N13WIM SE
01AA4EB0-9296-E011-82A2-00155D28E806,A5D4E139-087C-E011-9CF3-00155D960C0A,5,4,6,SE,SE/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,1034,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,7,13,N,12,W,I,0713N12WIM,SE,0713N12WIM SE
02AA4EB0-9296-E011-82A2-00155D28E806,FAE4E139-087C-E011-9CF3-00155D960C0A,5,4,6,SE,SE/4 SE/4,0.5,39.84,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,22:54.6,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,SE,1213N13WIM SE
03AA4EB0-9296-E011-82A2-00155D28E806,98D6E139-087C-E011-9CF3-00155D960C0A,5,4,6,SW,LOT 1 A/K/A SW/4 NW/4 ,0.5,40.3025,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,25:32.4,Imported Location || LOT 1=SW/4 NW/4=37.75 ACRES,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,NW,1213N13WIM NW
04AA4EB0-9296-E011-82A2-00155D28E806,23D1E139-087C-E011-9CF3-00155D960C0A,5,4,6,SW,SW/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,894,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,13,N,13,W,I,0113N13WIM,SE,0113N13WIM SE
05AA4EB0-9296-E011-82A2-00155D28E806,A5D4E139-087C-E011-9CF3-00155D960C0A,5,4,6,SW,SW/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,1034,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,7,13,N,12,W,I,0713N12WIM,SE,0713N12WIM SE
06AA4EB0-9296-E011-82A2-00155D28E806,FAE4E139-087C-E011-9CF3-00155D960C0A,5,4,6,SW,SW/4 SE/4,0.5,39.84,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,23:01.9,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,SE,1213N13WIM SE
97AA4EB0-9296-E011-82A2-00155D28E806,51D2E139-087C-E011-9CF3-00155D960C0A,5,4,7,NE,SE 10 ACRES OF ,,,,,,,,,,,,,,,,,,,,,,,,,,
15AB4EB0-9296-E011-82A2-00155D28E806,98D6E139-087C-E011-9CF3-00155D960C0A,5,4,6,NE,NE/4 NW/4,0.5,40.3025,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,25:01.1,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,NW,1213N13WIM NW
16AB4EB0-9296-E011-82A2-00155D28E806,23D1E139-087C-E011-9CF3-00155D960C0A,5,4,6,NE,NE/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,894,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,1,13,N,13,W,I,0113N13WIM,SE,0113N13WIM SE
17AB4EB0-9296-E011-82A2-00155D28E806,A5D4E139-087C-E011-9CF3-00155D960C0A,5,4,6,NE,NE/4 SE/4,0.5,40,00:00.0,NULL,NULL,F,1034,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,7,13,N,12,W,I,0713N12WIM,SE,0713N12WIM SE
18AB4EB0-9296-E011-82A2-00155D28E806,FAE4E139-087C-E011-9CF3-00155D960C0A,5,4,6,NE,NE/4 SE/4,0.5,39.84,00:00.0,NULL,NULL,F,1237-A,,ADMIN,29:19.8,Ginny,22:39.3,Imported Location || ,NULL,0,NULL,NULL,12,13,N,13,W,I,1213N13WIM,SE,1213N13WIM SE
45AB4EB0-9296-E011-82A2-00155D28E806,51D2E139-087C-E011-9CF3-00155D960C0A,5,4,7,SE,E/2 SE/4 NW/4,0.5,20,00:00.0,NULL,NULL,F,578,,ADMIN,29:19.8,Sfleming,02:07.3,Imported Location || ,NULL,0,NULL,NULL,3,5,S,11,E,I,0305S11EIM,NW,0305S11EIM NW
0EAC4EB0-9296-E011-82A2-00155D28E806,F8D7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1558-G,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,15,5,N,3,E,C,1505N03ECM,NW,1505N03ECM NW
0FAC4EB0-9296-E011-82A2-00155D28E806,3E51D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1555-C,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 12 miles North and 5 miles East || ",NULL,0,NULL,NULL,15,5,N,6,E,C,1505N06ECM,NW,1505N06ECM NW
10AC4EB0-9296-E011-82A2-00155D28E806,7450D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1275-A,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 14 miles North and 18 miles West || ",NULL,0,NULL,NULL,15,6,N,3,E,C,1506N03ECM,NW,1506N03ECM NW
11AC4EB0-9296-E011-82A2-00155D28E806,51E6E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,187-E,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,15,6,N,6,E,C,1506N06ECM,NW,1506N06ECM NW
12AC4EB0-9296-E011-82A2-00155D28E806,80E7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1558-I,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,17,5,N,3,E,C,1705N03ECM,NW,1705N03ECM NW
13AC4EB0-9296-E011-82A2-00155D28E806,81E7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,282-B,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,17,5,N,6,E,C,1705N06ECM,NW,1705N06ECM NW
