,state,university,rights_type,activity,acres,gis_acres,trust_name,managing_agency,township,range,section,aliquot,data_source,geometry
20,MT,Montana State University,subsurface,,640.0,656.5,MSU 2nd Grant,Department of Natural Resources,1N,5W,28,,,"POLYGON ((388605.0644999966 177646.3834999986, 388594.49930000305 177240.96409999952, 388583.9347000271 176835.54410000518, 388573.37049999833 176430.12400000542, 388562.80680000037 176024.70369999856, 388153.29400002956 176037.4813000001, 387743.781900011 176050.28350000083, 387334.2707000151 176063.11640000343, 386924.7624000013 176075.97370000556, 386936.9491999969 176481.76440000162, 386949.1362000033 176887.5519000031, 386961.32339999825 177293.3419000022, 386973.51089999825 177699.128800001, 387381.3986000046 177685.90150000155, 387789.2871999964 177672.7015000023, 388197.17650001496 177659.52870000154, 388605.0644999966 177646.3834999986))"
21,MT,Montana State University,subsurface,,320.0,321.68,MSU 2nd Grant,Department of Natural Resources,1N,5W,34,,,"POLYGON ((390152.20440000296 175971.81730000302, 390159.72940000147 175971.5938999988, 390152.8401000127 175568.15349999815, 390145.94960000366 175164.712900009, 389741.4151000008 175176.759200003, 389336.8825000003 175188.8013000004, 388934.1301000193 175200.79320000857, 388531.3774999976 175212.78710000217, 388547.09220000356 175618.74560000375, 388562.80680000037 176024.70369999856, 388962.0362000093 176011.386900004, 389361.26640001684 175998.09629999846, 389760.4975000024 175984.83210000023, 390152.20440000296 175971.81730000302))"
22,MT,Montana State University,subsurface,,160.0,159.84,MSU 2nd Grant,Department of Natural Resources,15N,5W,22,,,"POLYGON ((394145.4671000019 313387.8029000014, 394142.02440000325 313277.996199999, 394131.6621000245 312985.88500000164, 394128.8464000225 312986.1539000049, 393729.89190000296 313001.946200002, 393484.6529000029 313011.8999999985, 393328.12070002407 313018.0348000005, 393295.2036000043 313019.4800000042, 392957.22339999676 313033.0240999982, 392926.3528999984 313034.15050000325, 392820.06599999964 313038.52770000696, 392698.6972000003 313043.4001000039, 392524.58619999886 313050.29320000485, 392527.7150999978 313132.2551000044, 392536.34329999983 313377.7207000032, 392538.70910000056 313451.492899999, 392940.39660000056 313435.5567000024, 393342.0864999965 313419.6199000031, 393743.77570001036 313403.7133000009, 394142.6467999965 313388.01860000193, 394145.4671000019 313387.8029000014))"
23,MT,Montana State University,subsurface,,640.0,632.94,MSU 2nd Grant,Department of Natural Resources,15N,5W,34,,,"POLYGON ((394076.81589999795 311375.9916000031, 394062.68840000033 310979.38830000535, 394048.55849999934 310582.78240000084, 394034.42849999666 310186.17969999835, 394020.3007000014 309789.5740999989, 393947.987499997 309792.1735999994, 393756.14820002764 309799.67540000007, 393618.58669999987 309804.79060000554, 393564.8601000011 309807.0018000044, 393547.5328999981 309807.5148999989, 393216.87980000675 309820.2010000013, 393147.0753000006 309822.7074000016, 392823.1843000278 309835.27419999987, 392815.16600000113 309835.46880000085, 392746.6230000183 309838.1059000045, 392724.875500001 309839.05160000175, 392700.86119999737 309839.9750000015, 392644.72830001265 309842.13340000063, 392413.4593000263 309850.9362999983, 392425.6885000169 310178.0247000009, 392428.10170000046 310249.76889999583, 392442.74400000274 310648.60170000046, 392443.3466999978 310658.9796999991, 392452.21000000834 310900.3920000009, 392455.84740000963 310999.4671000019, 392457.3862000033 311047.43470000103, 392461.0851999968 311142.0220000036, 392466.6853 311294.4365000017, 392472.02840001136 311446.267900005, 392873.22309999913 311428.6567000039, 393274.4193999991 311411.07560000196, 393675.61700002104 311393.521700006, 394076.81589999795 311375.9916000031))"
24,MT,Montana State University,subsurface,,640.0,646.58,MSU 2nd Grant,Department of Natural Resources,15N,22W,12,,,"POLYGON ((234762.6032000035 324197.9063999988, 234761.52170000225 324182.1423000023, 234359.89779999852 324208.706500005, 234079.34759999812 324227.55380000547, 233958.27799999714 324235.29740000516, 233955.49080000073 324235.7794000022, 233743.38300002366 324249.8126000054, 233647.7709000334 324256.1499999985, 233644.94349999726 324256.33790000156, 233556.6603000015 324261.9155000001, 233553.5647 324262.4127999991, 233421.54439999908 324271.2490000017, 233417.97370000184 324271.4884000048, 233159.6727000028 324288.7976000011, 233155.06860002875 324288.816200003, 233156.39769999683 324306.07520000264, 233183.04129999876 324696.0599000007, 233183.72590000182 324706.64380000904, 233207.0097000003 325107.878800001, 233216.289500013 325265.8697000034, 233230.35220000148 325509.70390000567, 233232.60549999774 325546.4525000043, 233253.65619999915 325911.132500004, 233655.93079999834 325883.4600000009, 233711.0169999972 325879.8408000022, 233829.80470000207 325871.44280000404, 234046.66870000213 325856.1111000031, 234058.128500022 325855.0258000009, 234106.3765000105 325851.9657000005, 234399.08410001546 325831.7338999994, 234460.3879000023 325827.22190000117, 234574.21410001814 325819.6710000001, 234862.6617999971 325799.5659000017, 234860.5705000311 325765.4751000032, 234838.54950000346 325398.8661000021, 234836.3499000147 325362.26280000433, 234836.2318000123 325358.0142999999, 234833.3676000014 325310.34259999916, 234828.2677000165 325225.4615999982, 234817.581700027 325047.60580000654, 234814.4768999964 324998.16099999845, 234812.4530000016 324963.03990000114, 234812.0749000013 324959.05700000003, 234801.2161000222 324803.3240000047, 234797.6955000162 324753.4354000017, 234785.5089000091 324582.568500001, 234783.01850003004 324540.9809000045, 234762.6032000035 324197.9063999988))"
25,MT,Montana State University,subsurface,,120.0,117.87,MSU 2nd Grant,Department of Natural Resources,15N,22W,14,,,"MULTIPOLYGON (((233089.13660000265 323097.4956, 233067.1944000125 322700.15239999816, 232669.55619999766 322726.53710000217, 232676.0543000102 322841.4130000062, 232679.0597000122 322895.5905000046, 232679.52460002154 322903.9730000049, 232691.7497999966 323126.8527000025, 232698.75510000437 323248.4155000001, 232714.5244999975 323529.2243999988, 233053.63359999657 323504.8901000023, 233086.35910002887 323502.5156000033, 233108.3500000015 323500.8595000021, 233111.15460000187 323500.4922000021, 233090.85610001534 323129.4948000051, 233089.86930000037 323111.082600005, 233089.17350001633 323100.32389999926, 233089.13660000265 323097.4956)), ((233133.71649999917 323904.82829999924, 233133.1125999987 323894.6540000029, 233130.33580001444 323895.1925000027, 232746.68900003284 323930.9457000047, 232737.29760000855 323931.5658000037, 232759.46500000358 324325.8197000064, 232762.5749000013 324325.8000999987, 233155.06860002875 324288.816200003, 233133.71649999917 323904.82829999924)))"
26,MT,Montana State University,subsurface,,160.0,157.68,MSU 2nd Grant,Department of Natural Resources,15N,22W,22,,,"POLYGON ((230596.50230000168 321645.7740999982, 230568.42099999636 321243.76939999685, 230173.4628000036 321271.1057000011, 229777.65079999715 321297.44910000265, 229803.94900000095 321696.4089000039, 229830.2487000227 322095.36580000445, 230227.41730002314 322071.57420000434, 230624.58540000021 322047.77870000526, 230596.50230000168 321645.7740999982))"
27,MT,Montana State University,subsurface,,630.12,631.77,MSU 2nd Grant,Department of Natural Resources,16N,15W,6,,,"POLYGON ((294273.65500000864 332130.25250000507, 294273.53599999845 332123.79570000246, 294263.2841999978 331920.15310000256, 294253.27149999887 331725.6074000038, 293883.4453000054 331740.818500001, 293852.2712000236 331741.9759000093, 293835.45050001144 331742.77800000086, 293451.2718999982 331758.3685000017, 293425.30629999936 331759.6101000011, 293302.32930000126 331764.93840000033, 293050.2129999995 331775.74350000545, 293040.23309999704 331776.2982000038, 292977.4978 331779.0412000045, 292693.26420000196 331791.3490000032, 292702.81180000305 331966.8573000021, 292714.7805000022 332195.4692000039, 292715.5024999976 332205.2047000006, 292736.29680000246 332599.59290000424, 292748.052699998 332816.0318000056, 292748.2252000123 332819.26370000094, 292756.1269999966 332967.39530000463, 292757.7696999982 332998.1033000089, 292757.80180002004 333002.55750000477, 292780.5437999964 333428.76270000264, 293036.371400021 333417.27120000497, 293137.0239999965 333412.7533, 293157.4099999964 333411.9453000054, 293436.9130000025 333399.0795000009, 293534.64649999887 333394.2468999997, 293599.23300001025 333391.1610000022, 293839.0732000172 333379.13159999996, 293935.80569999665 333374.33270000294, 294089.95099999756 333366.8051000051, 294241.2356000021 333359.18940000236, 294336.9710000232 333354.57829999924, 294324.98920000345 333099.6119000055, 294317.0897000134 332934.5871000029, 294316.72290002555 332931.0949999988, 294316.79190000147 332928.267300006, 294303.25900000334 332679.06890000403, 294295.047100015 332531.50580000505, 294284.52660000324 332330.3047000021, 294273.65500000864 332130.25250000507))"
28,MT,Montana State University,subsurface,,320.0,319.99,MSU 2nd Grant,Department of Natural Resources,16N,15W,8,,,"POLYGON ((295847.86000002176 331662.1597000025, 295847.50129999965 331652.7079000026, 295828.4497999996 331259.20340000466, 295825.02700001 331185.68900000304, 295820.0859000012 331082.6066999994, 295809.0379000008 330856.24439999834, 295409.7449000031 330871.14620000124, 295344.49390000105 330873.69029999524, 295110.71010002494 330882.4175000042, 295010.4513999969 330886.0502000004, 294696.06849999726 330897.88809999824, 294611.1551999971 330900.9504000023, 294217.8803000301 330915.7364999987, 294211.86079999804 330915.8528000042, 294215.9070999995 330991.0753000006, 294224.0117000118 331149.47430000454, 294232.56610000134 331320.7299000025, 294234.84369999915 331361.2395000048, 294242.334900029 331507.62420000136, 294253.27149999887 331725.6074000038, 294651.37430000305 331711.5353000052, 294800.2788999975 331705.75180000067, 295049.98210000247 331695.7912000008, 295448.92059999704 331678.96379999816, 295847.86000002176 331662.1597000025))"
29,MT,Montana State University,subsurface,,618.48,620.16,MSU 2nd Grant,Department of Natural Resources,16N,15W,10,,,"POLYGON ((297864.05309999734 331553.16860000417, 298263.86559999734 331529.2998000011, 298362.98409999907 331532.6330000013, 298327.4378999993 331431.820000004, 298415.71339999884 331285.4254000038, 298480.86530000716 331234.5535000041, 298631.5872000307 331202.30889999866, 298651.5290000215 331213.43680000305, 298712.3342999965 331248.49820000306, 298711.4209000021 331326.8488000035, 298659.0126999989 331367.42850000784, 298588.67350000143 331521.38109999895, 298666.3994999975 331517.63980000094, 299070.3640000224 331498.20650000125, 299050.4474000037 331095.03730000556, 299030.5328000188 330691.86520000175, 299010.61870002 330288.69640000165, 298990.7047000006 329885.52500000224, 298586.8549999967 329910.1299000047, 298540.37830002606 329912.1033000052, 298435.18360001594 329916.42400000244, 298406.7973999977 329917.5969000049, 298184.0974999964 329926.67280000076, 298072.32389999926 329933.4644000046, 298059.7109000012 329934.3242999986, 297842.2876999974 329947.5395999998, 297779.6319000125 329951.2489, 297502.6639999971 329968.2094000019, 297383.4957000017 329975.45560000464, 297375.16960003227 329975.85250000283, 297380.5194000155 330068.1619000025, 297397.4375000298 330376.15579999983, 297413.15360001475 330653.63450000435, 297418.99639999866 330758.3112999983, 297419.7054999992 330776.4563000016, 297423.83630000055 330844.94680000097, 297425.55910001695 330875.7699999958, 297428.0451999977 330919.9624999985, 297434.6181000024 331037.7100000009, 297438.8474999964 331114.2839000039, 297441.97399999946 331176.7602000013, 297457.03339999914 331440.3933000006, 297463.9327000007 331567.4738000035, 297464.28930000216 331574.11250000447, 297464.24250002205 331577.06140000373, 297722.5080000013 331561.62739999965, 297770.8149000034 331558.3326999992, 297812.3104000017 331555.7003000006, 297833.48910000175 331554.99510000274, 297864.05309999734 331553.16860000417))"
