,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
36,ND,North Dakota State University,160.0,160.49,North Dakota State University,Commissioner of University and School Lands,EMMONS,136,76,7,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.28353226433863 46.611377243665466, -100.28363073220022 46.60413392220623, -100.27310292611796 46.604127976887504, -100.27300305474904 46.611371315960625, -100.28353226433863 46.611377243665466))"
37,ND,North Dakota State University,160.0,159.96,North Dakota State University,Commissioner of University and School Lands,HETTINGER,136,93,29,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.39175814953335 46.56638335437315, -102.40220824461609 46.5662931187577, -102.40215805800642 46.55902310906418, -102.39170798977213 46.55911828340567, -102.39175814953335 46.56638335437315))"
38,ND,North Dakota State University,160.0,159.86,North Dakota State University,Commissioner of University and School Lands,HETTINGER,136,93,29,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.38130798239702 46.56647262031143, -102.39175814953335 46.56638335437315, -102.39170798977213 46.55911828340567, -102.38125781109657 46.55921250387493, -102.38130798239702 46.56647262031143))"
39,ND,North Dakota State University,160.0,159.24,North Dakota State University,Commissioner of University and School Lands,LOGAN,136,69,10,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.3509092656924 46.615936737861134, -99.3508643542141 46.60867148817288, -99.34044447056954 46.608679530718916, -99.34047945195589 46.61593233647702, -99.3509092656924 46.615936737861134))"
40,ND,North Dakota State University,160.0,160.55,North Dakota State University,Commissioner of University and School Lands,HETTINGER,136,93,28,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.37070789845721 46.56659326194881, -102.38130798239702 46.56647262031143, -102.38125781109657 46.55921250387493, -102.37535773681336 46.55938280504371, -102.3706620429081 46.55940766454927, -102.37070789845721 46.56659326194881))"
41,ND,North Dakota State University,160.0,161.18,North Dakota State University,Commissioner of University and School Lands,HETTINGER,136,93,28,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.37070789845721 46.56659326194881, -102.3706620429081 46.55940766454927, -102.36005755487783 46.55946310840247, -102.36010770826411 46.56671292156987, -102.37070789845721 46.56659326194881))"
42,ND,North Dakota State University,160.0,160.68,North Dakota State University,Commissioner of University and School Lands,LAMOURE,135,65,14,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.8190549172105 46.50777777250826, -98.81907250971224 46.515012918990955, -98.82959239328794 46.515052035549765, -98.82959235108827 46.51500888882368, -98.82958268065521 46.50780216322109, -98.8190549172105 46.50777777250826))"
43,ND,North Dakota State University,150.0,160.15,North Dakota State University,Commissioner of University and School Lands,MORTON,139,84,25,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-101.22820913341997 46.83317497772751, -101.23873114745034 46.83317468864412, -101.23868102482732 46.82591961798415, -101.22811950629415 46.825932988930155, -101.22820913341997 46.83317497772751))"
44,ND,North Dakota State University,150.0,159.87,North Dakota State University,Commissioner of University and School Lands,MORTON,139,84,25,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-101.22820913341997 46.83317497772751, -101.22811950629415 46.825932988930155, -101.21755794929699 46.82594538413717, -101.21768551998589 46.8331363163293, -101.21773161461486 46.83317429729188, -101.22820913341997 46.83317497772751))"
45,ND,North Dakota State University,160.0,161.43,North Dakota State University,Commissioner of University and School Lands,STUTSMAN,139,65,23,NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.85054110698526 46.841487704237544, -98.84002583293878 46.84148457007441, -98.84007556131996 46.848704011509206, -98.84007631149296 46.84881466876631, -98.84015049262347 46.848814740484194, -98.85057146588264 46.84882536923284, -98.85054110698526 46.841487704237544))"
