,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,activity,county,meridian,township,range,section,geometry
418,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,314.57,312.34,subsurface+surface,Coal,Bent,6th Meridian,21S,53W,6.0,"POLYGON ((640437.1919 4234205.9167, 640060.0329999998 4234197.818399999, 640051.2660999997 4234596.9738, 640042.5142000001 4234996.142200001, 640415.7570000002 4235003.3050999995, 640818.7313999999 4235011.145500001, 641224.3404000001 4235018.7674, 641629.8947999999 4235026.6994, 641637.3420000002 4234629.646600001, 641644.6217 4234232.591, 641242.0542000001 4234223.442, 640839.4780000001 4234214.6537, 640437.1919 4234205.9167))"
419,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,314.57,312.34,subsurface+surface,Oil & Gas,Bent,6th Meridian,21S,53W,6.0,"POLYGON ((640437.1919 4234205.9167, 640060.0329999998 4234197.818399999, 640051.2660999997 4234596.9738, 640042.5142000001 4234996.142200001, 640415.7570000002 4235003.3050999995, 640818.7313999999 4235011.145500001, 641224.3404000001 4235018.7674, 641629.8947999999 4235026.6994, 641637.3420000002 4234629.646600001, 641644.6217 4234232.591, 641242.0542000001 4234223.442, 640839.4780000001 4234214.6537, 640437.1919 4234205.9167))"
420,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,640.94,subsurface+surface,Coal,Otero,6th Meridian,21S,54W,12.0,"POLYGON ((638890.5818999996 4232563.1525, 638486.2721999995 4232553.6908, 638475.2677999996 4232953.217800001, 638464.4303000001 4233352.748199999, 638453.4256999996 4233752.275699999, 638442.4209000003 4234151.8037, 638846.9483000003 4234163.387599999, 639251.3082999997 4234174.989, 639655.6754999999 4234186.1873, 640060.0329999998 4234197.818399999, 640070.9822000004 4233796.6051, 640081.7696000002 4233394.9552, 640092.5566999996 4232993.305600001, 640103.5031000003 4232592.0821, 639699.1936999997 4232582.559800001, 639294.8914999999 4232572.634299999, 638890.5818999996 4232563.1525))"
421,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,640.94,subsurface+surface,Oil & Gas,Otero,6th Meridian,21S,54W,12.0,"POLYGON ((638890.5818999996 4232563.1525, 638486.2721999995 4232553.6908, 638475.2677999996 4232953.217800001, 638464.4303000001 4233352.748199999, 638453.4256999996 4233752.275699999, 638442.4209000003 4234151.8037, 638846.9483000003 4234163.387599999, 639251.3082999997 4234174.989, 639655.6754999999 4234186.1873, 640060.0329999998 4234197.818399999, 640070.9822000004 4233796.6051, 640081.7696000002 4233394.9552, 640092.5566999996 4232993.305600001, 640103.5031000003 4232592.0821, 639699.1936999997 4232582.559800001, 639294.8914999999 4232572.634299999, 638890.5818999996 4232563.1525))"
422,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,640.0,640.94,subsurface+surface,Other Minerals,Otero,6th Meridian,21S,54W,12.0,"POLYGON ((638890.5818999996 4232563.1525, 638486.2721999995 4232553.6908, 638475.2677999996 4232953.217800001, 638464.4303000001 4233352.748199999, 638453.4256999996 4233752.275699999, 638442.4209000003 4234151.8037, 638846.9483000003 4234163.387599999, 639251.3082999997 4234174.989, 639655.6754999999 4234186.1873, 640060.0329999998 4234197.818399999, 640070.9822000004 4233796.6051, 640081.7696000002 4233394.9552, 640092.5566999996 4232993.305600001, 640103.5031000003 4232592.0821, 639699.1936999997 4232582.559800001, 639294.8914999999 4232572.634299999, 638890.5818999996 4232563.1525))"
423,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,225.62,226.23,subsurface,Coal,Baca,6th Meridian,35S,50W,12.0,"POLYGON ((679886.0800999999 4097188.1542000007, 679885.8711999999 4097188.150699999, 679574.2385999998 4097181.958900001, 679507.8444999997 4097180.5511000007, 679501.1222000001 4097180.4086000007, 679500.7457999997 4097180.4005999994, 679500.7367000002 4097180.4003999997, 679500.7363999998 4097180.4137999993, 679501.1220000004 4097180.4211999997, 679498.2114000004 4097316.9321, 679497.7785 4097316.9345999993, 679373.341 4097317.5238000005, 679360.8076999998 4097317.5676000006, 679233.8070999999 4097318.1547, 679207.9329000004 4097318.3069, 679168.7017000001 4097318.4926999994, 679114.0323000001 4097318.754899999, 679108.5854000002 4097574.7803000007, 679105.6184999999 4097714.2337999996, 679105.0350000001 4097714.2347999997, 679105.0344000002 4097714.261499999, 678757.2807 4097714.9115999993, 678721.8377 4097714.9789000005, 678716.4402999999 4097969.187999999, 678715.4653000003 4098015.1128000002, 678713.4758000001 4098108.8233000003, 678710.4724000003 4098251.4924, 678707.1640999997 4098371.6483999994, 678704.3854999999 4098502.5803999994, 678700.3344999999 4098697.6016000006, 678698.7472999999 4098774.0100999996, 678698.5269999998 4098774.1909, 678698.7269000001 4098774.1951, 678734.3635 4098774.9477999993, 679082.5816000002 4098782.3095999993, 679082.7721999995 4098782.3136, 679082.5187999997 4098782.1822999995, 679091.2923999997 4098379.5963000003, 679097.1969999997 4098108.6405999996, 679151.6935 4098108.7117, 679481.3696999997 4098109.16, 679484.0469000004 4097984.728599999, 679489.8990000002 4097712.8432, 679535.4510000004 4097712.760500001, 679562.7467 4097712.710999999, 679874.4754999997 4097712.148499999, 679874.4852999998 4097711.6964, 679877.1118000001 4097590.250600001, 679882.2027000003 4097355.0654000007, 679883.2646000003 4097318.7083, 679886.0800999999 4097188.1542000007))"
424,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,225.62,226.23,subsurface,Other Minerals,Baca,6th Meridian,35S,50W,12.0,"POLYGON ((679886.0800999999 4097188.1542000007, 679885.8711999999 4097188.150699999, 679574.2385999998 4097181.958900001, 679507.8444999997 4097180.5511000007, 679501.1222000001 4097180.4086000007, 679500.7457999997 4097180.4005999994, 679500.7367000002 4097180.4003999997, 679500.7363999998 4097180.4137999993, 679501.1220000004 4097180.4211999997, 679498.2114000004 4097316.9321, 679497.7785 4097316.9345999993, 679373.341 4097317.5238000005, 679360.8076999998 4097317.5676000006, 679233.8070999999 4097318.1547, 679207.9329000004 4097318.3069, 679168.7017000001 4097318.4926999994, 679114.0323000001 4097318.754899999, 679108.5854000002 4097574.7803000007, 679105.6184999999 4097714.2337999996, 679105.0350000001 4097714.2347999997, 679105.0344000002 4097714.261499999, 678757.2807 4097714.9115999993, 678721.8377 4097714.9789000005, 678716.4402999999 4097969.187999999, 678715.4653000003 4098015.1128000002, 678713.4758000001 4098108.8233000003, 678710.4724000003 4098251.4924, 678707.1640999997 4098371.6483999994, 678704.3854999999 4098502.5803999994, 678700.3344999999 4098697.6016000006, 678698.7472999999 4098774.0100999996, 678698.5269999998 4098774.1909, 678698.7269000001 4098774.1951, 678734.3635 4098774.9477999993, 679082.5816000002 4098782.3095999993, 679082.7721999995 4098782.3136, 679082.5187999997 4098782.1822999995, 679091.2923999997 4098379.5963000003, 679097.1969999997 4098108.6405999996, 679151.6935 4098108.7117, 679481.3696999997 4098109.16, 679484.0469000004 4097984.728599999, 679489.8990000002 4097712.8432, 679535.4510000004 4097712.760500001, 679562.7467 4097712.710999999, 679874.4754999997 4097712.148499999, 679874.4852999998 4097711.6964, 679877.1118000001 4097590.250600001, 679882.2027000003 4097355.0654000007, 679883.2646000003 4097318.7083, 679886.0800999999 4097188.1542000007))"
425,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,225.62,226.23,subsurface,Oil & Gas,Baca,6th Meridian,35S,50W,12.0,"POLYGON ((679886.0800999999 4097188.1542000007, 679885.8711999999 4097188.150699999, 679574.2385999998 4097181.958900001, 679507.8444999997 4097180.5511000007, 679501.1222000001 4097180.4086000007, 679500.7457999997 4097180.4005999994, 679500.7367000002 4097180.4003999997, 679500.7363999998 4097180.4137999993, 679501.1220000004 4097180.4211999997, 679498.2114000004 4097316.9321, 679497.7785 4097316.9345999993, 679373.341 4097317.5238000005, 679360.8076999998 4097317.5676000006, 679233.8070999999 4097318.1547, 679207.9329000004 4097318.3069, 679168.7017000001 4097318.4926999994, 679114.0323000001 4097318.754899999, 679108.5854000002 4097574.7803000007, 679105.6184999999 4097714.2337999996, 679105.0350000001 4097714.2347999997, 679105.0344000002 4097714.261499999, 678757.2807 4097714.9115999993, 678721.8377 4097714.9789000005, 678716.4402999999 4097969.187999999, 678715.4653000003 4098015.1128000002, 678713.4758000001 4098108.8233000003, 678710.4724000003 4098251.4924, 678707.1640999997 4098371.6483999994, 678704.3854999999 4098502.5803999994, 678700.3344999999 4098697.6016000006, 678698.7472999999 4098774.0100999996, 678698.5269999998 4098774.1909, 678698.7269000001 4098774.1951, 678734.3635 4098774.9477999993, 679082.5816000002 4098782.3095999993, 679082.7721999995 4098782.3136, 679082.5187999997 4098782.1822999995, 679091.2923999997 4098379.5963000003, 679097.1969999997 4098108.6405999996, 679151.6935 4098108.7117, 679481.3696999997 4098109.16, 679484.0469000004 4097984.728599999, 679489.8990000002 4097712.8432, 679535.4510000004 4097712.760500001, 679562.7467 4097712.710999999, 679874.4754999997 4097712.148499999, 679874.4852999998 4097711.6964, 679877.1118000001 4097590.250600001, 679882.2027000003 4097355.0654000007, 679883.2646000003 4097318.7083, 679886.0800999999 4097188.1542000007))"
426,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,120.0,109.92,subsurface+surface,Coal,Las Animas,6th Meridian,33S,51W,25.0,"MULTIPOLYGON (((669904.6896000002 4111386.5856, 669530.4111000001 4111379.492900001, 669529.5687999995 4111772.1586000007, 669528.7275999999 4112164.8576999996, 669906.8794 4112170.9307000004, 669905.9965000004 4111866.8500999995, 669905.8918000003 4111778.7314, 669904.9480999997 4111465.380999999, 669904.6896000002 4111386.5856)), ((669907.9046 4112563.1598000005, 669527.8217000002 4112557.5308, 669526.9149000002 4112950.1827000007, 669908.8476 4112955.3627000004, 669908.8251999998 4112937.2573000006, 669908.0919000003 4112669.9334999993, 669907.9046 4112563.1598000005)))"
427,CO,18 Stat. 474-476,Colorado State University,State Land Board,Colorado State University,120.0,109.92,subsurface+surface,Other Minerals,Las Animas,6th Meridian,33S,51W,25.0,"MULTIPOLYGON (((669904.6896000002 4111386.5856, 669530.4111000001 4111379.492900001, 669529.5687999995 4111772.1586000007, 669528.7275999999 4112164.8576999996, 669906.8794 4112170.9307000004, 669905.9965000004 4111866.8500999995, 669905.8918000003 4111778.7314, 669904.9480999997 4111465.380999999, 669904.6896000002 4111386.5856)), ((669907.9046 4112563.1598000005, 669527.8217000002 4112557.5308, 669526.9149000002 4112950.1827000007, 669908.8476 4112955.3627000004, 669908.8251999998 4112937.2573000006, 669908.0919000003 4112669.9334999993, 669907.9046 4112563.1598000005)))"
