,state,trust_name,managing_agency,university,gis_acres,rights_type,county,township,range,section,geometry
10,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,86.08,surface,Cedar,31,01W,19,"POLYGON ((2318119.302773863 1032910.7685601711, 2316775.563513711 1032877.863774702, 2316735.1731799096 1034206.0331861675, 2316694.8727409244 1035531.2928269356, 2318032.2806497514 1035562.2704511583, 2318103.62203303 1035563.9046340287, 2318147.3624252975 1034239.746696949, 2318191.0342481732 1032912.5277427733, 2318119.302773863 1032910.7685601711))"
11,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,238.61,surface,Knox,32,03W,25,"POLYGON ((2280284.1524950117 1058041.8970487863, 2278978.550292641 1058000.0510094315, 2278939.440467909 1059319.0163722783, 2278900.330971271 1060637.9768138826, 2278861.2214746326 1061956.931021899, 2280172.623533398 1062003.886630416, 2281485.341206163 1062051.9482077062, 2281521.990734309 1060729.2725509256, 2281558.2954469025 1059406.5854112357, 2281593.531920314 1058083.8644789755, 2280284.1524950117 1058041.8970487863))"
12,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,40.02,surface,Pierce,26,01W,28,"POLYGON ((2332241.7355809957 870732.7617523074, 2332205.7133481055 872051.6641231626, 2333526.284678653 872096.1568104327, 2333562.9102567136 870779.579565838, 2332241.7355809957 870732.7617523074))"
13,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,163.96,surface,Cedar,30,01W,30,"POLYGON ((2319302.6391608864 995949.3572315127, 2317938.911426306 995904.453783974, 2317896.172016144 997212.4965979457, 2317852.827948481 998524.6519359499, 2319214.2472890317 998575.6587169319, 2320569.1689400226 998617.2764103264, 2320613.809920937 997303.6049994379, 2320658.318356201 995994.0513619184, 2319302.6391608864 995949.3572315127))"
14,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,77.63,surface,Knox,31,03W,30,"POLYGON ((2257485.020345211 1029639.1226505786, 2256196.331164509 1029601.10895212, 2256159.371269569 1030902.8397716731, 2257446.736306116 1030945.4725547731, 2258743.341152355 1030988.4114395678, 2258782.967380181 1029677.4093143344, 2257485.020345211 1029639.1226505786))"
15,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,159.94,surface,Cedar,29,01W,32,"POLYGON ((2328084.502321273 959181.7729173154, 2326994.624396354 959149.3067792058, 2326956.6789392233 960421.4720450193, 2326955.5460676253 960459.4572002292, 2326950.4200942963 960631.3046027422, 2326916.300088331 961775.2214544117, 2328242.584333211 961816.0451862514, 2329570.196659252 961856.9096004069, 2329603.8022306263 960539.6555199921, 2329637.2641015053 959228.0274118334, 2328315.2859498113 959188.6475745589, 2328248.311027035 959186.6525000781, 2328084.502321273 959181.7729173154))"
16,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,471.11,surface,Pierce,26,01W,33,"POLYGON ((2333752.0565068573 864235.5643230081, 2332430.0635914057 864184.6188936085, 2332391.9849324673 865491.9806066602, 2332353.9075858444 866799.3065586388, 2332315.831223488 868106.5974057019, 2332277.755845383 869413.8521636128, 2333599.753682077 869462.1561944485, 2334920.4185163677 869510.4113408774, 2336239.7513325065 869558.6179309785, 2337473.952112362 869603.7139634192, 2337515.6492018998 868299.1888584793, 2337557.347275704 866994.6316013783, 2336315.895527065 866948.0306508988, 2334996.5653355867 866898.505822137, 2335034.640057534 865592.5000773221, 2335072.7160918266 864286.4585714191, 2333752.0565068573 864235.5643230081))"
17,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,39.81,surface,Dixon,27,04E,35,"POLYGON ((2470824.8812930733 904255.9438652247, 2470775.984415725 905571.0827926695, 2472089.612191543 905627.2260456383, 2472140.663591847 904309.9968995452, 2470824.8812930733 904255.9438652247))"
18,NE,AG College,Board of Educational Lands and Funds,University of Nebraska,631.72,surface,Knox,32,03W,35,"POLYGON ((2275170.4485061765 1052647.3796824664, 2273862.5746551007 1052605.5083806962, 2273824.3634504974 1053914.3389226347, 2273788.8369514644 1055223.553650111, 2273755.7966676056 1056533.1174582094, 2273725.088071674 1057843.0086934417, 2275038.457645938 1057882.2618905604, 2276351.8249236196 1057921.5203370154, 2277665.188920468 1057960.7833766341, 2278978.549964562 1058000.0510094315, 2279012.0367697775 1056699.652536109, 2279045.613797903 1055395.7419311851, 2279079.2817051113 1054088.304430887, 2279113.040819451 1052777.3262557238, 2277795.767710209 1052733.3965593874, 2276481.5920353085 1052690.0528198034, 2275170.4485061765 1052647.3796824664))"
19,NE,University,Board of Educational Lands and Funds,University of Nebraska,316.24,surface,Holt,27,10W,02,"POLYGON ((2062937.89097099 916647.4322012663, 2062951.955245465 915347.6928472817, 2062657.6520673633 915367.3243670911, 2062446.7407717705 915336.7233824879, 2061641.2733295113 915329.0892124176, 2060512.844305709 915310.2208143324, 2060316.222677797 915312.752305001, 2058993.2517460585 915294.3668455184, 2057859.5894657075 915282.7490881532, 2057666.5249168277 915341.2824278772, 2057637.5384300947 916560.6190662086, 2057610.9505602866 917879.5302953124, 2058939.5766636878 917895.624093011, 2060265.0302016735 917911.6617884636, 2061588.6254759133 917929.0554521531, 2062911.6052659005 917949.902848646, 2062937.89097099 916647.4322012663))"
