,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
1516,WI,University of Wisconsin,40.0,38.43,Normal School,Board of Commissioners of Public Lands,Ashland,43N,02W,36,NENW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((420603.16810137226 2587750.4678342235, 420621.5618675158 2587346.8847170933, 420237.78721294954 2587321.6875757053, 420220.8199794117 2587727.940881754, 420603.16810137226 2587750.4678342235))"
1517,WI,University of Wisconsin,40.0,39.93,Normal School,Board of Commissioners of Public Lands,Ashland,43N,04W,36,NWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((401468.10339562246 2585789.4499507146, 401870.5961302749 2585814.237568193, 401892.67869962676 2585413.8877760335, 401490.1619610204 2585389.5365110245, 401468.10339562246 2585789.4499507146))"
1518,WI,University of Wisconsin,40.0,40.0,Normal School,Board of Commissioners of Public Lands,Ashland,43N,03W,35,SESW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((409488.56615169876 2585876.2800805736, 409526.6608690581 2585510.4517384153, 409530.5846571423 2585473.5055524604, 409124.90699422685 2585453.9855929036, 409122.2879597918 2585489.3473679693, 409094.0636833562 2585857.0874588406, 409488.56615169876 2585876.2800805736))"
1519,WI,University of Wisconsin,40.0,40.08,Normal School,Board of Commissioners of Public Lands,Ashland,42N,03W,17,NWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((404590.0033858263 2581953.9178101053, 404610.2482626491 2581548.2208752697, 404208.11345865624 2581526.908544305, 404198.6464225222 2581937.406864135, 404590.0033858263 2581953.9178101053))"
1520,WI,University of Wisconsin,40.0,40.04,Normal School,Board of Commissioners of Public Lands,Ashland,42N,03W,17,NWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((405031.86192164716 2581167.849205814, 405434.01020887337 2581187.8219874245, 405453.5464691354 2580785.001581916, 405051.74919860734 2580766.2999699204, 405031.86192164716 2581167.849205814))"
1521,WI,University of Wisconsin,34.86,35.4,Normal School,Board of Commissioners of Public Lands,Langlade,34N,12E,02,NWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((549708.8572758228 2517778.07777088, 550095.8217089563 2517814.6717311386, 550111.3985601017 2517816.1447431515, 550118.6518371901 2517455.599845485, 549724.513356363 2517421.491409385, 549708.8572758228 2517778.07777088))"
1522,WI,University of Wisconsin,40.0,39.96,Normal School,Board of Commissioners of Public Lands,Sawyer,42N,09W,27,NWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((349680.98177683883 2575358.181003312, 349703.6712302017 2574957.8625572575, 349298.01307022525 2574942.91396242, 349280.2718256888 2575343.3151797983, 349680.98177683883 2575358.181003312))"
1523,WI,University of Wisconsin,40.0,40.07,Normal School,Board of Commissioners of Public Lands,Oneida,38N,04E,06,SENW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((463732.9242705123 2550789.545988878, 463749.0228302381 2550384.508944807, 463348.6032732405 2550370.856789479, 463332.01522870717 2550774.007498099, 463732.9242705123 2550789.545988878))"
1524,WI,University of Wisconsin,40.0,40.02,Normal School,Board of Commissioners of Public Lands,Price,38N,02E,06,SWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((445186.21908367594 2549056.920055787, 444790.2614598049 2549028.8012292404, 444766.3418634555 2549436.6969365375, 445159.6768118214 2549466.10299947, 445186.21908367594 2549056.920055787))"
1525,WI,University of Wisconsin,40.0,39.38,Normal School,Board of Commissioners of Public Lands,Forest,38N,13E,04,SENE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((554439.5085536394 2556139.4046785496, 554841.9914447464 2556161.5705060447, 554872.7538963584 2555761.706544468, 554477.7391518565 2555743.4027977115, 554439.5085536394 2556139.4046785496))"
