,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,meridian,township,range,aliquot,geometry
3825,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,128N,68W,NENE,"POLYGON ((-11019981.9892 5763221.9045, -11020556.9989 5763222.8288, -11020557.011 5763801.974600002, -11019982.0075 5763801.0320999995, -11019981.9892 5763221.9045))"
3826,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,128N,68W,SENE,"POLYGON ((-11019981.9739 5762642.814400002, -11020556.9899 5762643.703100003, -11020556.9989 5763222.8288, -11019981.9892 5763221.9045, -11019981.9739 5762642.814400002))"
3827,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,128N,68W,NESE,"POLYGON ((-11019981.9587 5762063.762199998, -11020556.9777 5762064.579800002, -11020556.9899 5762643.703100003, -11019981.9739 5762642.814400002, -11019981.9587 5762063.762199998))"
3828,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,SESE,"POLYGON ((-11019981.9403 5761484.747699998, -11020556.9657 5761485.471900001, -11020556.9777 5762064.579800002, -11019981.9587 5762063.762199998, -11019981.9403 5761484.747699998))"
3829,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,NWNW,"POLYGON ((-11021707.0209 5763224.618299998, -11022282.0304 5763225.473499998, -11022282.0269 5763804.819499999, -11021707.0205 5763803.8706, -11021707.0209 5763224.618299998))"
3830,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,SWNW,"POLYGON ((-11021707.0182 5762645.381300002, -11022282.0338 5762646.169799998, -11022282.0304 5763225.473499998, -11021707.0209 5763224.618299998, -11021707.0182 5762645.381300002))"
3831,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.89,subsurface,5,128N,68W,NWSW,"POLYGON ((-11021707.0185 5762066.151100002, -11022282.0373 5762066.899700001, -11022282.0338 5762646.169799998, -11021707.0182 5762645.381300002, -11021707.0185 5762066.151100002))"
3832,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.89,subsurface,5,128N,68W,SWSW,"POLYGON ((-11021707.0157 5761486.936399996, -11022282.0409 5761487.671499997, -11022282.0373 5762066.899700001, -11021707.0185 5762066.151100002, -11021707.0157 5761486.936399996))"
3833,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,128N,68W,NENW,"POLYGON ((-11021132.0115 5763223.7228000015, -11021707.0209 5763224.618299998, -11021707.0205 5763803.8706, -11021132.0174 5763802.921999998, -11021132.0115 5763223.7228000015))"
3834,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,SENW,"POLYGON ((-11021132.0026 5762644.561499998, -11021707.0182 5762645.381300002, -11021707.0209 5763224.618299998, -11021132.0115 5763223.7228000015, -11021132.0026 5762644.561499998))"
