,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,data_source,geometry
22,MN,University of Minnesota,57.36,59.19,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((459785.8854 5080768.573999999, 460378.23039999977 5080741.7059, 460385.0837000003 5080337.673599999, 459790.3881000001 5080365.578, 459785.8854 5080768.573999999))"
23,MN,University of Minnesota,40.0,41.35,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460798.6102 5080318.2699, 461212.14470000006 5080298.898700001, 461217.59700000007 5079893.5604, 460804.7603000002 5079913.589299999, 460798.6102 5080318.2699))"
24,MN,University of Minnesota,40.0,41.28,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460385.0837000003 5080337.673599999, 460798.6102 5080318.2699, 460804.7603000002 5079913.589299999, 460391.93740000017 5079933.616900001, 460385.0837000003 5080337.673599999))"
25,MN,University of Minnesota,40.0,41.29,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461223.04980000015 5079488.183, 461635.1889000004 5079467.5353999995, 461639.9451000001 5079061.5397, 461228.5027999999 5079082.791999999, 461223.04980000015 5079488.183))"
26,MN,University of Minnesota,40.0,41.22,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460810.91139999963 5079508.8303, 461223.04980000015 5079488.183, 461228.5027999999 5079082.791999999, 460817.0630000001 5079104.071900001, 460810.91139999963 5079508.8303))"
27,MN,University of Minnesota,40.0,41.43,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,18,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461212.14470000006 5080298.898700001, 461625.6798999999 5080279.5273, 461630.4338999996 5079873.5315000005, 461217.59700000007 5079893.5604, 461212.14470000006 5080298.898700001))"
28,MN,University of Minnesota,40.0,40.6,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460348.7423999999 5081952.497199999, 460754.0795 5081936.3939, 460766.87119999994 5081531.9749, 460358.50540000014 5081548.9585, 460348.7423999999 5081952.497199999))"
29,MN,University of Minnesota,40.0,40.9,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460358.50540000014 5081548.9585, 460766.87119999994 5081531.9749, 460779.6657999996 5081127.4625, 460368.36730000004 5081145.3484000005, 460358.50540000014 5081548.9585))"
30,MN,University of Minnesota,40.0,40.45,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461143.59690000024 5082325.647399999, 461545.90770000033 5082310.5076, 461564.6582000004 5081904.2612, 461159.3688000003 5081920.3278, 461143.59690000024 5082325.647399999))"
31,MN,University of Minnesota,40.0,40.37,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460741.2878999999 5082340.8135, 461143.59690000024 5082325.647399999, 461159.3688000003 5081920.3278, 460754.0795 5081936.3939, 460741.2878999999 5082340.8135))"
32,MN,University of Minnesota,56.8,58.37,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((459788.3809000002 5081170.569599999, 460368.36730000004 5081145.3484000005, 460378.23039999977 5080741.7059, 459785.8854 5080768.573999999, 459788.3809000002 5081170.569599999))"
33,MN,University of Minnesota,40.0,40.3,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460338.98060000036 5082356.0056, 460741.2878999999 5082340.8135, 460754.0795 5081936.3939, 460348.7423999999 5081952.497199999, 460338.98060000036 5082356.0056))"
34,MN,University of Minnesota,40.0,41.19,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460368.36730000004 5081145.3484000005, 460779.6657999996 5081127.4625, 460792.4605999999 5080722.9506, 460378.23039999977 5080741.7059, 460368.36730000004 5081145.3484000005))"
35,MN,University of Minnesota,40.0,40.75,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461159.3688000003 5081920.3278, 461564.6582000004 5081904.2612, 461583.4116000002 5081498.0154, 461175.1414999999 5081514.995100001, 461159.3688000003 5081920.3278))"
36,MN,University of Minnesota,40.0,40.67,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460754.0795 5081936.3939, 461159.3688000003 5081920.3278, 461175.1414999999 5081514.995100001, 460766.87119999994 5081531.9749, 460754.0795 5081936.3939))"
37,MN,University of Minnesota,40.0,41.05,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461175.1414999999 5081514.995100001, 461583.4116000002 5081498.0154, 461602.16779999994 5081091.769099999, 461190.9166000001 5081109.615900001, 461175.1414999999 5081514.995100001))"
38,MN,University of Minnesota,40.0,41.27,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460779.6657999996 5081127.4625, 461190.9166000001 5081109.615900001, 461206.6925999997 5080704.223200001, 460792.4605999999 5080722.9506, 460779.6657999996 5081127.4625))"
39,MN,University of Minnesota,40.0,41.34,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461190.9166000001 5081109.615900001, 461602.16779999994 5081091.769099999, 461620.9269000003 5080685.5232, 461206.6925999997 5080704.223200001, 461190.9166000001 5081109.615900001))"
40,MN,University of Minnesota,56.0,57.14,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((459790.87650000025 5081572.565099999, 460358.50540000014 5081548.9585, 460368.36730000004 5081145.3484000005, 459788.3809000002 5081170.569599999, 459790.87650000025 5081572.565099999))"
41,MN,University of Minnesota,40.0,40.97,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,7,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460766.87119999994 5081531.9749, 461175.1414999999 5081514.995100001, 461190.9166000001 5081109.615900001, 460779.6657999996 5081127.4625, 460766.87119999994 5081531.9749))"
42,MN,University of Minnesota,40.0,40.59,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460713.6113999998 5083154.9407, 461119.56209999975 5083134.7586, 461131.57930000033 5082730.2093, 460727.44959999993 5082747.8771, 460713.6113999998 5083154.9407))"
43,MN,University of Minnesota,40.0,40.17,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461131.57930000033 5082730.2093, 461535.70940000005 5082712.5415, 461545.90770000033 5082310.5076, 461143.59690000024 5082325.647399999, 461131.57930000033 5082730.2093))"
44,MN,University of Minnesota,40.0,40.34,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461119.56209999975 5083134.7586, 461525.51300000027 5083114.575999999, 461535.70940000005 5082712.5415, 461131.57930000033 5082730.2093, 461119.56209999975 5083134.7586))"
45,MN,University of Minnesota,40.0,40.52,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461107.54530000035 5083539.4123, 461515.31819999963 5083516.609999999, 461525.51300000027 5083114.575999999, 461119.56209999975 5083134.7586, 461107.54530000035 5083539.4123))"
46,MN,University of Minnesota,48.93,50.49,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((459804.2971000001 5083612.153100001, 460292.25270000007 5083584.941, 460308.2229000004 5083175.0951000005, 459801.4874999998 5083200.2875, 459804.2971000001 5083612.153100001))"
47,MN,University of Minnesota,40.0,40.41,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460727.44959999993 5082747.8771, 461131.57930000033 5082730.2093, 461143.59690000024 5082325.647399999, 460741.2878999999 5082340.8135, 460727.44959999993 5082747.8771))"
48,MN,University of Minnesota,44.05,44.34,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((459806.85140000004 5083986.538699999, 460277.6644000001 5083959.3223, 460292.25270000007 5083584.941, 459804.2971000001 5083612.153100001, 459806.85140000004 5083986.538699999))"
49,MN,University of Minnesota,40.0,40.99,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460292.25270000007 5083584.941, 460699.7659999998 5083562.2148, 460713.6113999998 5083154.9407, 460308.2229000004 5083175.0951000005, 460292.25270000007 5083584.941))"
50,MN,University of Minnesota,37.37,37.69,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460277.6644000001 5083959.3223, 460687.0700000003 5083935.684800001, 460699.7659999998 5083562.2148, 460292.25270000007 5083584.941, 460277.6644000001 5083959.3223))"
51,MN,University of Minnesota,37.07,37.56,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((461096.4782999996 5083912.0745, 461505.8897000002 5083888.4915, 461515.31819999963 5083516.609999999, 461107.54530000035 5083539.4123, 461096.4782999996 5083912.0745))"
52,MN,University of Minnesota,37.22,37.63,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460687.0700000003 5083935.684800001, 461096.4782999996 5083912.0745, 461107.54530000035 5083539.4123, 460699.7659999998 5083562.2148, 460687.0700000003 5083935.684800001))"
53,MN,University of Minnesota,40.0,40.78,Trust Fund: University (University Trust),Department of Natural Resources,Kanabec,39,25,6,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((460699.7659999998 5083562.2148, 461107.54530000035 5083539.4123, 461119.56209999975 5083134.7586, 460713.6113999998 5083154.9407, 460699.7659999998 5083562.2148))"
54,MN,University of Minnesota,40.0,39.93,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,40,27,26,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((447795.7153000003 5086067.2393, 448198.41220000014 5086056.1774, 448186.10059999954 5085655.5954, 447783.5917999996 5085666.344900001, 447795.7153000003 5086067.2393))"
55,MN,University of Minnesota,13.52,39.9,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,40,27,26,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((448198.41220000014 5086056.1774, 448601.10950000025 5086045.115599999, 448588.61010000017 5085644.872400001, 448186.10059999954 5085655.5954, 448198.41220000014 5086056.1774))"
56,MN,University of Minnesota,40.0,39.99,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,39,26,13,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((458579.86039999966 5080755.825099999, 458981.8694000002 5080760.048800001, 458985.62320000026 5080357.8292, 458583.2385 5080353.980599999, 458579.86039999966 5080755.825099999))"
57,MN,University of Minnesota,40.0,39.95,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,39,26,13,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((458177.8501000004 5080751.627699999, 458579.86039999966 5080755.825099999, 458583.2385 5080353.980599999, 458180.8530000001 5080350.132099999, 458177.8501000004 5080751.627699999))"
58,MN,University of Minnesota,40.0,40.31,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,39,26,14,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((457771.84219999984 5080749.851399999, 458177.8501000004 5080751.627699999, 458180.8530000001 5080350.132099999, 457775.4704 5080347.8201, 457771.84219999984 5080749.851399999))"
59,MN,University of Minnesota,40.0,40.3,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,39,26,14,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((457370.0872999998 5080345.5079, 457775.4704 5080347.8201, 457779.0987999998 5079945.775599999, 457374.34080000035 5079942.9143, 457370.0872999998 5080345.5079))"
60,MN,University of Minnesota,40.0,40.49,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,40,27,14,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((447098.05649999995 5090120.095000001, 447501.9382999996 5090111.0702, 447495.0658 5089705.840500001, 447091.5588999996 5089714.352, 447098.05649999995 5090120.095000001))"
61,MN,University of Minnesota,40.0,40.46,Trust Fund: University (University Trust),Department of Natural Resources,Mille Lacs,40,27,14,https://resources.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/plan_stateland_dnrcounty/shp_plan_stateland_dnrcounty.zip,"POLYGON ((447091.5588999996 5089714.352, 447495.0658 5089705.840500001, 447488.1924999999 5089300.583699999, 447085.06060000043 5089308.6086, 447091.5588999996 5089714.352))"
