HoldingDetailID,LeaseType,LegalDescription,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian,STRM,HoldingDetailTypeID
1023A2EF-BF7F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 16-27N-2EIM, Kay County; less the area described as:  the S/2 of the SE/4 of the SE/4 of said SE/4 containing 5.00 Acres; less a 3.55 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,SE,I,16-27N-02EIM,2
1023A2EF-BF7F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 16-27N-2EIM, Kay County; less the area described as:  the S/2 of the SE/4 of the SE/4 of said SE/4 containing 5.00 Acres; less a 3.55 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,2,E,16,SE,I,16-27N-02EIM,2
FA74DC1A-C27F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 16-28N-1WIM",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,NE,I,16-28N-01WIM,2
FA74DC1A-C27F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 16-28N-1WIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,NE,I,16-28N-01WIM,2
0BB36F87-C27F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 16-28N-1WIM; less a 1.09 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,SE,I,16-28N-01WIM,2
0BB36F87-C27F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 16-28N-1WIM; less a 1.09 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,SE,I,16-28N-01WIM,2
2443F6F0-C27F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 16-28N-1WIM; less the area described as:  the N/2 of the NE/4 of the NE/4 of said NW/4 containing 5.00 Acres; less a 6.42 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,NW,I,16-28N-01WIM,2
2443F6F0-C27F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 16-28N-1WIM; less the area described as:  the N/2 of the NE/4 of the NE/4 of said NW/4 containing 5.00 Acres; less a 6.42 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,NW,I,16-28N-01WIM,2
657461FE-C37F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 16-28N-1WIM; less a 13.77 acre easement",NULL,NULL,KAY,0,NULL,CCDEBC17-C67F-ED11-A38A-005056B5157A,109554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,SW,I,16-28N-01WIM,2
657461FE-C37F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 16-28N-1WIM; less a 13.77 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,N,1,W,16,SW,I,16-28N-01WIM,2
65D985EA-C67F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 13-27N-1EIM",NULL,NULL,KAY,0,NULL,C7F51F10-CA7F-ED11-A38A-005056B5157A,209555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,NE,I,13-27N-01EIM,2
